"airline","origin_airport","stopover_airport","destination_airport","origin_departure_delay","stopover_arrival_delay","stopover_departure_delay","destination_arrival_delay"
"DL","SFO","ATL","JFK","-2.0","-21.0","-3.0","-24.0"
"DL","SFO","LAX","JFK","-2.0","-10.0","0.0","-28.0"
"B6","SFO","FLL","JFK","-1.0","-8.0","29.0","28.0"
"DL","SFO","ATL","JFK","-1.0","-18.0","-1.0","-29.0"
"AA","SFO","LAX","JFK","5.0","2.0","30.0","28.0"
"DL","SFO","LAX","JFK","-1.0","-10.0","-7.0","-17.0"
"VX","SFO","LAX","JFK","-5.0","-9.0","0.0","-6.0"
"DL","SFO","MSP","JFK","2.0","-10.0","-2.0","-19.0"
"AA","SFO","MIA","JFK","2.0","-6.0","54.0","31.0"
"AA","SFO","PHX","JFK","0.0","6.0","-1.0","-3.0"
"DL","SFO","LAX","JFK","127.0","128.0","16.0","-7.0"
"VX","SFO","LAX","JFK","176.0","215.0","126.0","102.0"
"AA","SFO","LAX","JFK","-5.0","9.0","34.0","14.0"
"DL","SFO","ATL","JFK","5.0","-16.0","1.0","-7.0"
"AA","SFO","ORD","JFK","4.0","-14.0","0.0","-16.0"
"DL","SFO","LAX","JFK","166.0","161.0","29.0","8.0"
"DL","SFO","LAX","JFK","166.0","161.0","-3.0","-9.0"
"VX","SFO","LAX","JFK","34.0","61.0","28.0","14.0"
"B6","SFO","FLL","JFK","178.0","187.0","6.0","22.0"
"B6","SFO","BOS","JFK","-3.0","-18.0","1.0","-8.0"
"VX","SFO","LAX","JFK","2.0","7.0","12.0","-1.0"
"VX","SFO","LAX","JFK","57.0","63.0","127.0","140.0"
"B6","SFO","BOS","JFK","126.0","120.0","-1.0","-12.0"
"B6","SFO","BOS","JFK","126.0","120.0","1.0","-8.0"
"AA","SFO","ORD","JFK","-5.0","121.0","287.0","276.0"
"B6","SFO","LAS","JFK","2.0","-10.0","6.0","-8.0"
"DL","SFO","LAX","JFK","-3.0","2.0","1.0","-15.0"
"DL","SFO","LAX","JFK","-3.0","2.0","0.0","-15.0"
"VX","SFO","LAX","JFK","38.0","34.0","16.0","6.0"
"VX","SFO","LAS","JFK","20.0","16.0","23.0","-1.0"
"B6","SFO","LAS","JFK","-8.0","-15.0","0.0","-37.0"
"B6","SFO","BOS","JFK","37.0","11.0","-4.0","-4.0"
"AA","SFO","PHX","JFK","-2.0","-3.0","-5.0","-36.0"
"AA","SFO","MIA","JFK","71.0","42.0","22.0","21.0"
"VX","SFO","LAX","JFK","11.0","11.0","10.0","-15.0"
"AA","SFO","ORD","JFK","-3.0","-29.0","-2.0","-15.0"
"B6","SFO","FLL","JFK","-2.0","-4.0","-9.0","-17.0"
"B6","SFO","BOS","JFK","-9.0","-12.0","-9.0","-5.0"
"VX","SFO","LAX","JFK","-8.0","-20.0","-3.0","20.0"
"AA","SFO","CLT","JFK","-5.0","-9.0","-7.0","-21.0"
"AA","SFO","ORD","JFK","-7.0","-25.0","-5.0","-14.0"
"AA","SFO","LAX","JFK","-1.0","10.0","-2.0","-10.0"
"AA","SFO","LAX","JFK","-1.0","10.0","-8.0","-18.0"
"DL","SFO","ATL","JFK","9.0","-12.0","0.0","-12.0"
"AA","SFO","PHX","JFK","-7.0","-14.0","10.0","13.0"
"AA","SFO","LAX","JFK","30.0","24.0","-3.0","-22.0"
"AA","SFO","LAX","JFK","30.0","24.0","-5.0","4.0"
"AA","SFO","PHX","JFK","-5.0","-23.0","-3.0","-17.0"
"VX","SFO","LAX","JFK","0.0","-6.0","-4.0","-53.0"
"VX","SFO","LAX","JFK","-1.0","10.0","-3.0","-20.0"
"AA","SFO","DFW","JFK","-7.0","-6.0","4.0","-19.0"
"AA","SFO","PHX","JFK","-5.0","-8.0","-6.0","-22.0"
"AA","SFO","CLT","JFK","0.0","42.0","7.0","29.0"
"AA","SFO","CLT","JFK","-5.0","-18.0","0.0","5.0"
"B6","SFO","BOS","JFK","-3.0","-8.0","7.0","15.0"
"AA","SFO","ORD","JFK","13.0","24.0","31.0","57.0"
"AA","SFO","LAX","JFK","-6.0","-8.0","-5.0","4.0"
"AA","SFO","LAX","JFK","-6.0","-8.0","-10.0","4.0"
"AA","SFO","ORD","JFK","-2.0","-7.0","-1.0","28.0"
"AA","SFO","LAX","JFK","111.0","110.0","-1.0","-5.0"
"AA","SFO","CLT","JFK","0.0","-1.0","0.0","-2.0"
"AA","SFO","CLT","JFK","0.0","-1.0","-4.0","-14.0"
"DL","SFO","ATL","JFK","0.0","-10.0","9.0","-20.0"
"AA","SFO","PHX","JFK","-5.0","-5.0","-4.0","-5.0"
"DL","SFO","ATL","JFK","-5.0","-25.0","-1.0","-18.0"
"AA","SFO","ORD","JFK","5.0","-11.0","-7.0","-11.0"
"DL","SFO","LAX","JFK","2.0","10.0","64.0","47.0"
"B6","SFO","LAS","JFK","24.0","13.0","2.0","-5.0"
"DL","SFO","LAX","JFK","-1.0","-3.0","9.0","-4.0"
"VX","SFO","LAX","JFK","52.0","46.0","10.0","21.0"
"VX","SFO","LAX","JFK","17.0","53.0","3.0","6.0"
"AA","SFO","ORD","JFK","-6.0","-18.0","-9.0","-18.0"
"DL","SFO","ATL","JFK","76.0","82.0","30.0","23.0"
"AA","SFO","PHX","JFK","3.0","0.0","9.0","11.0"
"AA","SFO","MIA","JFK","9.0","4.0","117.0","100.0"
"VX","SFO","LAX","JFK","9.0","4.0","11.0","7.0"
"AA","SFO","PHX","JFK","-5.0","-16.0","10.0","-5.0"
"DL","SFO","LAX","JFK","13.0","28.0","0.0","-12.0"
"B6","SFO","LGB","JFK","6.0","-5.0","42.0","31.0"
"DL","SFO","DTW","JFK","3.0","-11.0","104.0","91.0"
"VX","SFO","LAS","JFK","8.0","4.0","13.0","-9.0"
"B6","SFO","BOS","JFK","141.0","132.0","68.0","66.0"
"AA","SFO","DFW","JFK","13.0","-9.0","-3.0","-13.0"
"DL","SFO","ATL","JFK","14.0","5.0","58.0","41.0"
"B6","SFO","FLL","JFK","27.0","22.0","37.0","30.0"
"B6","SFO","FLL","JFK","27.0","22.0","10.0","-5.0"
"AA","SFO","MIA","JFK","-8.0","-24.0","12.0","-17.0"
"AS","SFO","SEA","JFK","-2.0","0.0","111.0","86.0"
"AA","SFO","CLT","JFK","-1.0","-37.0","-5.0","-16.0"
"DL","SFO","ATL","JFK","5.0","-11.0","9.0","-7.0"
"AS","SFO","SEA","JFK","88.0","80.0","-8.0","-30.0"
