"airline","origin_airport","stopover_airport","destination_airport","origin_departure_delay","stopover_arrival_delay","stopover_departure_delay","destination_arrival_delay"
"DL","SFO","LAX","JFK","0.0","0.0","40.0","32.0"
"VX","SFO","LAX","JFK","6.0","7.0","1.0","-8.0"
"AA","SFO","CLT","JFK","0.0","4.0","-2.0","-5.0"
"DL","SFO","DTW","JFK","2.0","-23.0","1.0","-15.0"
"AA","SFO","MIA","JFK","-2.0","-9.0","-8.0","-16.0"
"AA","SFO","PHX","JFK","-8.0","-15.0","-3.0","-43.0"
"AA","SFO","LAX","JFK","68.0","63.0","-5.0","-7.0"
"AA","SFO","CLT","JFK","0.0","-6.0","0.0","13.0"
"DL","SFO","LAX","JFK","16.0","34.0","40.0","33.0"
"AA","SFO","ORD","JFK","-1.0","-3.0","18.0","28.0"
"AA","SFO","DFW","JFK","22.0","14.0","58.0","162.0"
"B6","SFO","FLL","JFK","14.0","2.0","-5.0","-1.0"
"B6","SFO","FLL","JFK","14.0","2.0","-1.0","3.0"
"AA","SFO","ORD","JFK","5.0","-27.0","0.0","-17.0"
"DL","SFO","ATL","JFK","9.0","-15.0","429.0","425.0"
"DL","SFO","ATL","JFK","9.0","-15.0","1.0","-14.0"
"AA","SFO","MIA","JFK","5.0","-15.0","-7.0","-14.0"
"VX","SFO","LAX","JFK","-2.0","-15.0","0.0","-35.0"
"DL","SFO","LAX","JFK","-2.0","-8.0","121.0","90.0"
"AA","SFO","PHX","JFK","-3.0","-1.0","16.0","-21.0"
"B6","SFO","FLL","JFK","1.0","5.0","12.0","12.0"
"B6","SFO","FLL","JFK","1.0","5.0","22.0","21.0"
"DL","SFO","ATL","JFK","-1.0","-18.0","0.0","0.0"
"AA","SFO","PHX","JFK","-5.0","-14.0","-1.0","-34.0"
"DL","SFO","ATL","JFK","2.0","-15.0","-2.0","-9.0"
"AA","SFO","ORD","JFK","0.0","5.0","85.0","69.0"
"AA","SFO","LAX","JFK","-3.0","-4.0","0.0","-14.0"
"AA","SFO","LAX","JFK","-3.0","-4.0","-1.0","11.0"
"AA","SFO","ORD","JFK","16.0","3.0","-6.0","49.0"
"DL","SFO","ATL","JFK","176.0","142.0","5.0","-12.0"
"DL","SFO","ATL","JFK","10.0","-10.0","35.0","26.0"
"B6","SFO","LAS","JFK","3.0","7.0","27.0","12.0"
"DL","SFO","LAX","JFK","-1.0","4.0","35.0","27.0"
"DL","SFO","LAX","JFK","108.0","102.0","13.0","-10.0"
"DL","SFO","LAX","JFK","60.0","49.0","0.0","-31.0"
"AA","SFO","PHX","JFK","-5.0","-24.0","-1.0","-34.0"
"AA","SFO","LAX","JFK","1.0","-10.0","-7.0","-34.0"
"DL","SFO","LAX","JFK","0.0","5.0","20.0","11.0"
"DL","SFO","LAX","JFK","-5.0","-13.0","0.0","-7.0"
"B6","SFO","BOS","JFK","16.0","1.0","-1.0","-10.0"
"DL","SFO","LAX","JFK","21.0","23.0","16.0","-17.0"
"AA","SFO","ORD","JFK","21.0","-15.0","2.0","3.0"
"B6","SFO","BOS","JFK","-1.0","-6.0","36.0","39.0"
"VX","SFO","LAX","JFK","78.0","66.0","28.0","14.0"
"DL","SFO","ATL","JFK","-2.0","-19.0","0.0","-14.0"
"DL","SFO","LAX","JFK","103.0","120.0","28.0","3.0"
"DL","SFO","LAX","JFK","113.0","139.0","17.0","16.0"
"AA","SFO","CLT","JFK","209.0","190.0","33.0","44.0"
"AA","SFO","LAX","JFK","6.0","0.0","13.0","16.0"
"DL","SFO","LAX","JFK","32.0","18.0","12.0","9.0"
"VX","SFO","LAX","JFK","36.0","30.0","32.0","13.0"
"AA","SFO","PHX","JFK","7.0","-10.0","10.0","-20.0"
"DL","SFO","LAX","JFK","-1.0","-2.0","78.0","81.0"
"VX","SFO","LAX","JFK","36.0","52.0","8.0","8.0"
"AA","SFO","PHX","JFK","-6.0","-14.0","80.0","61.0"
"B6","SFO","BOS","JFK","-3.0","-22.0","20.0","18.0"
"DL","SFO","ATL","JFK","-2.0","-12.0","-1.0","-22.0"
"B6","SFO","LAS","JFK","-4.0","-20.0","5.0","9.0"
"B6","SFO","FLL","JFK","11.0","10.0","132.0","138.0"
"B6","SFO","FLL","JFK","11.0","10.0","39.0","36.0"
"AA","SFO","PHX","JFK","-10.0","-5.0","4.0","0.0"
"AA","SFO","MIA","JFK","6.0","8.0","50.0","54.0"
"B6","SFO","LAS","JFK","-5.0","-12.0","-2.0","3.0"
"B6","SFO","BOS","JFK","1.0","21.0","-2.0","-5.0"
"B6","SFO","BOS","JFK","1.0","21.0","-6.0","-7.0"
"B6","SFO","FLL","JFK","72.0","71.0","0.0","-15.0"
"VX","SFO","LAS","JFK","25.0","32.0","56.0","50.0"
"DL","SFO","LAX","JFK","39.0","27.0","4.0","18.0"
"B6","SFO","LAS","JFK","33.0","25.0","3.0","19.0"
"VX","SFO","LAX","JFK","6.0","-1.0","-1.0","-20.0"
"AA","SFO","MIA","JFK","0.0","6.0","-5.0","1.0"
"B6","SFO","BOS","JFK","-6.0","-26.0","1.0","-17.0"
"B6","SFO","FLL","JFK","55.0","67.0","5.0","-5.0"
"AA","SFO","PHX","JFK","-4.0","12.0","-5.0","-29.0"
"VX","SFO","LAS","JFK","2.0","25.0","-4.0","-35.0"
"AA","SFO","PHX","JFK","2.0","-8.0","10.0","-22.0"
"DL","SFO","ATL","JFK","-2.0","-10.0","3.0","2.0"
"AA","SFO","LAX","JFK","-6.0","-28.0","-6.0","-21.0"
"AA","SFO","LAX","JFK","-6.0","-28.0","-8.0","-15.0"
"AA","SFO","PHX","JFK","70.0","53.0","-1.0","-15.0"
"DL","SFO","ATL","JFK","-1.0","-12.0","5.0","0.0"
"DL","SFO","MSP","JFK","23.0","24.0","-4.0","0.0"
"AA","SFO","DFW","JFK","-3.0","-25.0","14.0","1.0"
"DL","SFO","ATL","JFK","6.0","27.0","-3.0","-5.0"
"AA","SFO","PHX","JFK","-4.0","6.0","3.0","-12.0"
